first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
ron,kind,M,1963-03-16,Ron Kind,rep,Democrat,2019-01-03,2021-01-03,[116],wisconsin
adam,kinzinger,M,1978-02-27,Adam Kinzinger,rep,Republican,2019-01-03,2021-01-03,[116],illinois
james,langevin,M,1964-04-22,James R. Langevin,rep,Democrat,2019-01-03,2021-01-03,[116],rhode island
patrick,leahy,M,1940-03-31,Patrick J. Leahy,sen,Democrat,2017-01-03,2023-01-03,"[115, 116, 117]",vermont
billy,long,M,1955-08-11,Billy Long,rep,Republican,2019-01-03,2021-01-03,[116],missouri
carolyn,maloney,F,1946-02-19,Carolyn B. Maloney,rep,Democrat,2019-01-03,2021-01-03,[116],new york
david,mckinley,M,1947-03-28,David B. McKinley,rep,Republican,2019-01-03,2021-01-03,[116],west virginia
jerry,mcnerney,M,1951-06-18,Jerry McNerney,rep,Democrat,2019-01-03,2021-01-03,[116],california
steven,palazzo,M,1970-02-21,Steven M. Palazzo,rep,Republican,2019-01-03,2021-01-03,[116],mississippi
ed,perlmutter,M,1953-05-01,Ed Perlmutter,rep,Democrat,2019-01-03,2021-01-03,[116],colorado
robert,portman,M,1955-12-19,Rob Portman,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",ohio
david,price,M,1940-08-17,David E. Price,rep,Democrat,2019-01-03,2021-01-03,[116],north carolina
lucille,roybal-allard,F,1941-06-12,Lucille Roybal-Allard,rep,Democrat,2019-01-03,2021-01-03,[116],california
bobby,rush,M,1946-11-23,Bobby L. Rush,rep,Democrat,2019-01-03,2021-01-03,[116],illinois
tim,ryan,M,1973-07-16,Tim Ryan,rep,Democrat,2019-01-03,2021-01-03,[116],ohio
kurt,schrader,M,1951-10-19,Kurt Schrader,rep,Democrat,2019-01-03,2021-01-03,[116],oregon
richard,shelby,M,1934-05-06,Richard C. Shelby,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",alabama
albio,sires,M,1951-01-26,Albio Sires,rep,Democrat,2019-01-03,2021-01-03,[116],new jersey
jackie,speier,F,1950-05-14,Jackie Speier,rep,Democrat,2019-01-03,2021-01-03,[116],california
patrick,toomey,M,1961-11-17,Patrick J. Toomey,sen,Republican,2017-01-03,2023-01-03,"[115, 116, 117]",pennsylvania
fred,upton,M,1953-04-23,Fred Upton,rep,Republican,2019-01-03,2021-01-03,[116],michigan
john,yarmuth,M,1947-11-04,John A. Yarmuth,rep,Democrat,2019-01-03,2021-01-03,[116],kentucky
alan,lowenthal,M,1941-03-08,Alan S. Lowenthal,rep,Democrat,2019-01-03,2021-01-03,[116],california
rodney,davis,M,1970-01-05,Rodney Davis,rep,Republican,2019-01-03,2021-01-03,[116],illinois
cheri,bustos,F,1961-10-17,Cheri Bustos,rep,Democrat,2019-01-03,2021-01-03,[116],illinois
sean,maloney,M,1966-07-30,Sean Patrick Maloney,rep,Democrat,2019-01-03,2021-01-03,[116],new york
tom,rice,M,1957-08-04,Tom Rice,rep,Republican,2019-01-03,2021-01-03,[116],south carolina
jody,hice,M,1960-04-22,Jody B. Hice,rep,Republican,2019-01-03,2021-01-03,[116],georgia
brenda,lawrence,F,1954-10-18,Brenda L. Lawrence,rep,Democrat,2019-01-03,2021-01-03,[116],michigan
lee,zeldin,M,1980-01-30,Lee M. Zeldin,rep,Republican,2019-01-03,2021-01-03,[116],new york
kathleen,rice,F,1965-02-15,Kathleen M. Rice,rep,Democrat,2019-01-03,2021-01-03,[116],new york
john,katko,M,1962-11-09,John Katko,rep,Republican,2019-01-03,2021-01-03,[116],new york
tom,o’halleran,M,1946-01-24,Tom O’Halleran,rep,Democrat,2019-01-03,2021-01-03,[116],arizona
al,lawson,M,1948-09-23,"Al Lawson, Jr.",rep,Democrat,2019-01-03,2021-01-03,[116],florida
stephanie,murphy,F,1978-09-16,Stephanie N. Murphy,rep,Democrat,2019-01-03,2021-01-03,[116],florida
val,demings,F,1957-03-12,Val Butler Demings,rep,Democrat,2019-01-03,2021-01-03,[116],florida
trey,hollingsworth,M,1983-09-12,Trey Hollingsworth,rep,Republican,2019-01-03,2021-01-03,[116],indiana
anthony,brown,M,1961-11-21,Anthony G. Brown,rep,Democrat,2019-01-03,2021-01-03,[116],maryland
liz,cheney,F,1966-07-28,Liz Cheney,rep,Republican,2019-01-03,2021-01-03,[116],wyoming
conor,lamb,M,1984-06-27,Conor Lamb,rep,Democrat,2019-01-03,2021-01-03,[116],pennsylvania
ann,kirkpatrick,F,1950-03-24,Ann Kirkpatrick,rep,Democrat,2019-01-03,2021-01-03,[116],arizona
michael,san nicolas,M,1981-01-30,Michael F. Q. San Nicolas,rep,Democrat,2019-01-03,2021-01-03,[116],gu
cynthia,axne,F,1965-04-20,Cynthia Axne,rep,Democrat,2019-01-03,2021-01-03,[116],iowa
andy,levin,M,1960-08-10,Andy Levin,rep,Democrat,2019-01-03,2021-01-03,[116],michigan
tom,malinowski,M,1965-09-23,Tom Malinowski,rep,Democrat,2019-01-03,2021-01-03,[116],new jersey
anthony,gonzalez,M,1984-09-18,Anthony Gonzalez,rep,Republican,2019-01-03,2021-01-03,[116],ohio
van,taylor,M,1972-08-01,Van Taylor,rep,Republican,2019-01-03,2021-01-03,[116],texas
elaine,luria,F,1975-08-15,Elaine G. Luria,rep,Democrat,2019-01-03,2021-01-03,[116],virginia
fred,keller,M,1965-10-23,Fred Keller,rep,Republican,2019-06-03,2021-01-03,[116],pennsylvania
chris,jacobs,M,1966-11-28,Chris Jacobs,rep,Republican,2020-07-21,2021-01-03,[116],new york
james,inhofe,M,1934-11-17,James M. Inhofe,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",oklahoma
benjamin,sasse,M,1972-02-22,Ben Sasse,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",nebraska
dianne,feinstein,F,1933-06-22,Dianne Feinstein,sen,Democrat,2019-01-03,2023-09-28,"[116, 117, 118]",california
robert,menendez,M,1954-01-01,Robert Menendez,sen,Democrat,2019-01-03,2024-08-20,"[116, 117, 118]",new jersey
sherrod,brown,M,1952-11-09,Sherrod Brown,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",ohio
benjamin,cardin,M,1943-10-05,Benjamin L. Cardin,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",maryland
thomas,carper,M,1947-01-23,Thomas R. Carper,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",delaware
robert,casey,M,1960-04-13,"Robert P. Casey, Jr.",sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",pennsylvania
debbie,stabenow,F,1950-04-29,Debbie Stabenow,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",michigan
jon,tester,M,1956-08-21,Jon Tester,sen,Democrat,2019-01-03,2025-01-03,"[116, 117, 118]",montana
joe,manchin,M,1947-08-24,"Joe Manchin, III",sen,Independent,2019-01-03,2025-01-03,"[116, 117, 118]",west virginia
