first_name,last_name,gender,birthday,name,type,party,start_date,end_date,congress_numbers,state
cory,booker,M,1969-04-27,Cory A. Booker,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",new jersey
dan,sullivan,M,1964-11-13,Dan Sullivan,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",alaska
joni,ernst,F,1970-07-01,Joni Ernst,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",iowa
thom,tillis,M,1960-08-30,Thom Tillis,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",north carolina
mike,rounds,M,1954-10-24,Mike Rounds,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",south dakota
cynthia,lummis,F,1954-09-10,Cynthia M. Lummis,rep,Republican,2015-01-06,2017-01-03,[114],wyoming
marlin,stutzman,M,1976-08-31,Marlin A. Stutzman,rep,Republican,2015-01-06,2017-01-03,[114],indiana
alan,nunnelee,M,1958-10-09,Alan Nunnelee,rep,Republican,2015-01-06,2015-02-06,[114],mississippi
aaron,schock,M,1981-05-28,Aaron Schock,rep,Republican,2015-01-06,2015-03-31,[114],illinois
john,boehner,M,1949-11-17,John A. Boehner,rep,Republican,2015-01-06,2015-10-31,[114],ohio
chaka,fattah,M,1956-11-21,Chaka Fattah,rep,Democrat,2015-01-06,2016-06-23,[114],pennsylvania
ed,whitfield,M,1943-05-25,Ed Whitfield,rep,Republican,2015-01-06,2016-09-07,[114],kentucky
mark,takai,M,1967-07-01,Mark Takai,rep,Democrat,2015-01-06,2016-07-20,[114],hawaii
janice,hahn,F,1952-03-30,Janice Hahn,rep,Democrat,2015-01-06,2016-12-04,[114],california
candice,miller,F,1954-05-07,Candice S. Miller,rep,Republican,2015-01-06,2016-12-31,[114],michigan
kelly,ayotte,F,1968-06-27,Kelly Ayotte,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",new hampshire
barbara,boxer,F,1940-11-11,Barbara Boxer,sen,Democrat,2011-01-05,2017-01-03,"[112, 113, 114]",california
daniel,coats,M,1943-05-16,Daniel Coats,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",indiana
mark,kirk,M,1959-09-15,Mark Kirk,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",illinois
barbara,mikulski,F,1936-07-20,Barbara A. Mikulski,sen,Democrat,2011-01-05,2017-01-03,"[112, 113, 114]",maryland
harry,reid,M,1939-12-02,Harry Reid,sen,Democrat,2011-01-05,2017-01-03,"[112, 113, 114]",nevada
david,vitter,M,1961-05-03,David Vitter,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",louisiana
dan,benishek,M,1952-04-20,Dan Benishek,rep,Republican,2015-01-06,2017-01-03,[114],michigan
charles,boustany,M,1956-02-21,Charles W. Boustany Jr.,rep,Republican,2015-01-06,2017-01-03,[114],louisiana
corrine,brown,F,1946-11-11,Corrine Brown,rep,Democrat,2015-01-06,2017-01-03,[114],florida
lois,capps,F,1938-01-10,Lois Capps,rep,Democrat,2015-01-06,2017-01-03,[114],california
john,carney,M,1956-05-20,John C. Carney Jr.,rep,Democrat,2015-01-06,2017-01-03,[114],delaware
ander,crenshaw,M,1944-09-01,Ander Crenshaw,rep,Republican,2015-01-06,2017-01-03,[114],florida
donna,edwards,F,1958-06-28,Donna F. Edwards,rep,Democrat,2015-01-06,2017-01-03,[114],maryland
renee,ellmers,F,1964-02-09,Renee L. Ellmers,rep,Republican,2015-01-06,2017-01-03,[114],north carolina
sam,farr,M,1941-07-04,Sam Farr,rep,Democrat,2015-01-06,2017-01-03,[114],california
stephen,fincher,M,1973-02-07,Stephen Lee Fincher,rep,Republican,2015-01-06,2017-01-03,[114],tennessee
michael,fitzpatrick,M,1963-06-28,Michael G. Fitzpatrick,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
john,fleming,M,1951-07-05,John Fleming,rep,Republican,2015-01-06,2017-01-03,[114],louisiana
j.,forbes,M,1952-02-17,J. Randy Forbes,rep,Republican,2015-01-06,2017-01-03,[114],virginia
scott,garrett,M,1959-07-09,Scott Garrett,rep,Republican,2015-01-06,2017-01-03,[114],new jersey
christopher,gibson,M,1964-05-13,Christopher P. Gibson,rep,Republican,2015-01-06,2017-01-03,[114],new york
richard,hanna,M,1951-01-25,Richard L. Hanna,rep,Republican,2015-01-06,2017-01-03,[114],new york
joseph,heck,M,1961-10-30,Joseph J. Heck,rep,Republican,2015-01-06,2017-01-03,[114],nevada
rubén,hinojosa,M,1940-08-20,Rubén Hinojosa,rep,Democrat,2015-01-06,2017-01-03,[114],texas
michael,honda,M,1941-06-27,Michael M. Honda,rep,Democrat,2015-01-06,2017-01-03,[114],california
tim,huelskamp,M,1968-11-11,Tim Huelskamp,rep,Republican,2015-01-06,2017-01-03,[114],kansas
robert,hurt,M,1969-06-16,Robert Hurt,rep,Republican,2015-01-06,2017-01-03,[114],virginia
steve,israel,M,1958-05-30,Steve Israel,rep,Democrat,2015-01-06,2017-01-03,[114],new york
john,kline,M,1947-09-06,John Kline,rep,Republican,2015-01-06,2017-01-03,[114],minnesota
jim,mcdermott,M,1936-12-28,Jim McDermott,rep,Democrat,2015-01-06,2017-01-03,[114],washington
john,mica,M,1943-01-27,John L. Mica,rep,Republican,2015-01-06,2017-01-03,[114],florida
jeff,miller,M,1959-06-27,Jeff Miller,rep,Republican,2015-01-06,2017-01-03,[114],florida
randy,neugebauer,M,1949-12-24,Randy Neugebauer,rep,Republican,2015-01-06,2017-01-03,[114],texas
richard,nugent,M,1951-05-26,Richard B. Nugent,rep,Republican,2015-01-06,2017-01-03,[114],florida
pedro,pierluisi,M,1959-04-26,Pedro R. Pierluisi,rep,Democrat,2013-01-03,2017-01-03,"[113, 114]",pr
joseph,pitts,M,1939-10-10,Joseph R. Pitts,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
charles,rangel,M,1930-06-11,Charles B. Rangel,rep,Democrat,2015-01-06,2017-01-03,[114],new york
reid,ribble,M,1956-04-05,Reid J. Ribble,rep,Republican,2015-01-06,2017-01-03,[114],wisconsin
edward,rigell,M,1960-05-28,E. Scott Rigell,rep,Republican,2015-01-06,2017-01-03,[114],virginia
loretta,sanchez,F,1960-01-07,Loretta Sanchez,rep,Democrat,2015-01-06,2017-01-03,[114],california
lynn,westmoreland,M,1950-04-02,Lynn A. Westmoreland,rep,Republican,2015-01-06,2017-01-03,[114],georgia
matt,salmon,M,1958-01-21,Matt Salmon,rep,Republican,2015-01-06,2017-01-03,[114],arizona
alan,grayson,M,1958-03-13,Alan Grayson,rep,Democrat,2015-01-06,2017-01-03,[114],florida
patrick,murphy,M,1983-03-30,Patrick Murphy,rep,Democrat,2015-01-06,2017-01-03,[114],florida
david,jolly,M,1972-10-31,David W. Jolly,rep,Republican,2015-01-06,2017-01-03,[114],florida
curtis,clawson,M,1959-09-28,Curt Clawson,rep,Republican,2015-01-06,2017-01-03,[114],florida
bob,dold,M,1969-06-23,Robert J. Dold,rep,Republican,2015-01-06,2017-01-03,[114],illinois
frank,guinta,M,1970-09-26,Frank C. Guinta,rep,Republican,2015-01-06,2017-01-03,[114],new hampshire
gwen,graham,F,1963-01-31,Gwen Graham,rep,Democrat,2015-01-06,2017-01-03,[114],florida
brad,ashford,M,1949-11-10,Brad Ashford,rep,Democrat,2015-01-06,2017-01-03,[114],nebraska
cresent,hardy,M,1957-06-23,Cresent Hardy,rep,Republican,2015-01-06,2017-01-03,[114],nevada
mike,pompeo,M,1963-12-30,Mike Pompeo,rep,Republican,2015-01-06,2017-01-03,[114],kansas
xavier,becerra,M,1958-01-26,Xavier Becerra,rep,Democrat,2015-01-06,2017-01-03,[114],california
jefferson,sessions,M,1946-12-24,Jeff Sessions,sen,Republican,2015-01-06,2017-02-08,"[114, 115]",alabama
tom,price,M,1954-10-08,Tom Price,rep,Republican,2015-01-06,2017-01-03,[114],georgia
mick,mulvaney,M,1967-07-21,Mick Mulvaney,rep,Republican,2015-01-06,2017-01-03,[114],south carolina
jason,chaffetz,M,1967-03-26,Jason Chaffetz,rep,Republican,2015-01-06,2017-01-03,[114],utah
tim,murphy,M,1952-09-11,Tim Murphy,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
john,conyers,M,1929-05-16,"John Conyers, Jr.",rep,Democrat,2015-01-06,2017-01-03,[114],michigan
trent,franks,M,1957-06-19,Trent Franks,rep,Republican,2015-01-06,2017-01-03,[114],arizona
alan,franken,M,1951-05-21,Al Franken,sen,Democrat,2015-01-06,2018-01-02,"[114, 115]",minnesota
patrick,tiberi,M,1962-10-21,Patrick J. Tiberi,rep,Republican,2015-01-06,2017-01-03,[114],ohio
louise,slaughter,F,1929-08-14,Louise McIntosh Slaughter,rep,Democrat,2015-01-06,2017-01-03,[114],new york
thad,cochran,M,1937-12-07,Thad Cochran,sen,Republican,2015-01-06,2018-04-01,"[114, 115]",mississippi
blake,farenthold,M,1961-12-12,Blake Farenthold,rep,Republican,2015-01-06,2017-01-03,[114],texas
patrick,meehan,M,1955-10-20,Patrick Meehan,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
jim,bridenstine,M,1975-06-15,Jim Bridenstine,rep,Republican,2015-01-06,2017-01-03,[114],oklahoma
charles,dent,M,1960-05-24,Charles W. Dent,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
john,mccain,M,1936-08-29,John McCain,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",arizona
ron,desantis,M,1978-09-14,Ron DeSantis,rep,Republican,2015-01-06,2017-01-03,[114],florida
evan,jenkins,M,1960-09-12,Evan H. Jenkins,rep,Republican,2015-01-06,2017-01-03,[114],west virginia
michelle,lujan grisham,F,1959-10-24,Michelle Lujan Grisham,rep,Democrat,2015-01-06,2017-01-03,[114],new mexico
bob,corker,M,1952-08-24,Bob Corker,sen,Republican,2013-01-03,2019-01-03,"[113, 114, 115]",tennessee
orrin,hatch,M,1934-03-22,Orrin G. Hatch,sen,Republican,2013-01-03,2019-01-03,"[113, 114, 115]",utah
claire,mccaskill,F,1953-07-24,Claire McCaskill,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",missouri
bill,nelson,M,1942-09-29,Bill Nelson,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",florida
lou,barletta,M,1956-01-28,Lou Barletta,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
joe,barton,M,1949-09-15,Joe Barton,rep,Republican,2015-01-06,2017-01-03,[114],texas
diane,black,F,1951-01-16,Diane Black,rep,Republican,2015-01-06,2017-01-03,[114],tennessee
madeleine,bordallo,F,1933-05-31,Madeleine Z. Bordallo,rep,Democrat,2015-01-06,2017-01-03,[114],gu
robert,brady,M,1945-04-07,Robert A. Brady,rep,Democrat,2015-01-06,2017-01-03,[114],pennsylvania
michael,capuano,M,1952-01-09,Michael E. Capuano,rep,Democrat,2015-01-06,2017-01-03,[114],massachusetts
mike,coffman,M,1955-03-19,Mike Coffman,rep,Republican,2015-01-06,2017-01-03,[114],colorado
joseph,crowley,M,1962-03-16,Joseph Crowley,rep,Democrat,2015-01-06,2017-01-03,[114],new york
john,culberson,M,1956-08-24,John Abney Culberson,rep,Republican,2015-01-06,2017-01-03,[114],texas
jeff,denham,M,1967-07-29,Jeff Denham,rep,Republican,2015-01-06,2017-01-03,[114],california
joe,donnelly,M,1955-09-29,Joe Donnelly,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",indiana
john,duncan,M,1947-07-21,"John J. Duncan, Jr.",rep,Republican,2015-01-06,2017-01-03,[114],tennessee
keith,ellison,M,1963-08-04,Keith Ellison,rep,Democrat,2015-01-06,2017-01-03,[114],minnesota
jeff,flake,M,1962-12-31,Jeff Flake,sen,Republican,2013-01-03,2019-01-03,"[113, 114, 115]",arizona
rodney,frelinghuysen,M,1946-04-29,Rodney P. Frelinghuysen,rep,Republican,2015-01-06,2017-01-03,[114],new jersey
bob,goodlatte,M,1952-09-22,Bob Goodlatte,rep,Republican,2015-01-06,2017-01-03,[114],virginia
trey,gowdy,M,1964-08-22,Trey Gowdy,rep,Republican,2015-01-06,2017-01-03,[114],south carolina
gene,green,M,1947-10-17,Gene Green,rep,Democrat,2015-01-06,2017-01-03,[114],texas
luis,gutiérrez,M,1953-12-10,Luis V. Gutiérrez,rep,Democrat,2015-01-06,2017-01-03,[114],illinois
gregg,harper,M,1956-06-01,Gregg Harper,rep,Republican,2015-01-06,2017-01-03,[114],mississippi
jeb,hensarling,M,1957-05-29,Jeb Hensarling,rep,Republican,2015-01-06,2017-01-03,[114],texas
randy,hultgren,M,1966-03-01,Randy Hultgren,rep,Republican,2015-01-06,2017-01-03,[114],illinois
lynn,jenkins,F,1963-06-10,Lynn Jenkins,rep,Republican,2015-01-06,2017-01-03,[114],kansas
sam,johnson,M,1930-10-11,Sam Johnson,rep,Republican,2015-01-06,2017-01-03,[114],texas
raúl,labrador,M,1967-12-08,Raúl R. Labrador,rep,Republican,2015-01-06,2017-01-03,[114],idaho
leonard,lance,M,1952-06-25,Leonard Lance,rep,Republican,2015-01-06,2017-01-03,[114],new jersey
sander,levin,M,1931-09-06,Sander M. Levin,rep,Democrat,2015-01-06,2017-01-03,[114],michigan
frank,lobiondo,M,1946-05-12,Frank A. LoBiondo,rep,Republican,2015-01-06,2017-01-03,[114],new jersey
kristi,noem,F,1971-11-30,Kristi L. Noem,rep,Republican,2015-01-06,2017-01-03,[114],south dakota
erik,paulsen,M,1965-05-14,Erik Paulsen,rep,Republican,2015-01-06,2017-01-03,[114],minnesota
stevan,pearce,M,1947-08-24,Stevan Pearce,rep,Republican,2015-01-06,2017-01-03,[114],new mexico
ted,poe,M,1948-09-10,Ted Poe,rep,Republican,2015-01-06,2017-01-03,[114],texas
jared,polis,M,1975-05-12,Jared Polis,rep,Democrat,2015-01-06,2017-01-03,[114],colorado
david,reichert,M,1950-08-29,David G. Reichert,rep,Republican,2015-01-06,2017-01-03,[114],washington
james,renacci,M,1958-12-03,James B. Renacci,rep,Republican,2015-01-06,2017-01-03,[114],ohio
dana,rohrabacher,M,1947-06-21,Dana Rohrabacher,rep,Republican,2015-01-06,2017-01-03,[114],california
todd,rokita,M,1970-02-09,Todd Rokita,rep,Republican,2015-01-06,2017-01-03,[114],indiana
thomas,rooney,M,1970-11-21,Thomas J. Rooney,rep,Republican,2015-01-06,2017-01-03,[114],florida
ileana,ros-lehtinen,F,1952-07-15,Ileana Ros-Lehtinen,rep,Republican,2015-01-06,2017-01-03,[114],florida
peter,roskam,M,1961-09-13,Peter J. Roskam,rep,Republican,2015-01-06,2017-01-03,[114],illinois
dennis,ross,M,1959-10-18,Dennis A. Ross,rep,Republican,2015-01-06,2017-01-03,[114],florida
edward,royce,M,1951-10-12,Edward R. Royce,rep,Republican,2015-01-06,2017-01-03,[114],california
paul,ryan,M,1970-01-29,Paul D. Ryan,rep,Republican,2015-01-06,2017-01-03,[114],wisconsin
bill,shuster,M,1961-01-10,Bill Shuster,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
lamar,smith,M,1947-11-19,Lamar Smith,rep,Republican,2015-01-06,2017-01-03,[114],texas
niki,tsongas,F,1946-04-26,Niki Tsongas,rep,Democrat,2015-01-06,2017-01-03,[114],massachusetts
timothy,walz,M,1964-04-06,Timothy J. Walz,rep,Democrat,2015-01-06,2017-01-03,[114],minnesota
kevin,yoder,M,1976-01-08,Kevin Yoder,rep,Republican,2015-01-06,2017-01-03,[114],kansas
dean,heller,M,1960-05-10,Dean Heller,sen,Republican,2013-01-03,2019-01-03,"[113, 114, 115]",nevada
elizabeth,esty,F,1959-08-25,Elizabeth H. Esty,rep,Democrat,2015-01-06,2017-01-03,[114],connecticut
luke,messer,M,1969-02-27,Luke Messer,rep,Republican,2015-01-06,2017-01-03,[114],indiana
john,delaney,M,1963-04-16,John K. Delaney,rep,Democrat,2015-01-06,2017-01-03,[114],maryland
richard,nolan,M,1943-12-17,Richard M. Nolan,rep,Democrat,2015-01-06,2017-01-03,[114],minnesota
robert,pittenger,M,1948-08-15,Robert Pittenger,rep,Republican,2015-01-06,2017-01-03,[114],north carolina
heidi,heitkamp,F,1955-10-30,Heidi Heitkamp,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",north dakota
keith,rothfus,M,1962-04-25,Keith J. Rothfus,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
beto,o’rourke,M,1972-09-26,Beto O’Rourke,rep,Democrat,2015-01-06,2017-01-03,[114],texas
marshall,sanford,M,1960-05-28,Mark Sanford,rep,Republican,2015-01-06,2017-01-03,[114],south carolina
david,brat,M,1964-07-27,Dave Brat,rep,Republican,2015-01-06,2017-01-03,[114],virginia
steve,knight,M,1966-12-17,Stephen Knight,rep,Republican,2015-01-06,2017-01-03,[114],california
mimi,walters,F,1962-05-14,Mimi Walters,rep,Republican,2015-01-06,2017-01-03,[114],california
carlos,curbelo,M,1980-03-01,Carlos Curbelo,rep,Republican,2015-01-06,2017-01-03,[114],florida
rod,blum,M,1955-04-26,Rod Blum,rep,Republican,2015-01-06,2017-01-03,[114],iowa
david,young,M,1968-05-11,David Young,rep,Republican,2015-01-06,2017-01-03,[114],iowa
bruce,poliquin,M,1953-11-01,Bruce Poliquin,rep,Republican,2015-01-06,2017-01-03,[114],maine
mike,bishop,M,1967-03-18,Mike Bishop,rep,Republican,2015-01-06,2017-01-03,[114],michigan
dave,trott,M,1960-10-16,David A. Trott,rep,Republican,2015-01-06,2017-01-03,[114],michigan
tom,macarthur,M,1960-10-16,Thomas MacArthur,rep,Republican,2015-01-06,2017-01-03,[114],new jersey
steve,russell,M,1963-05-25,Steve Russell,rep,Republican,2015-01-06,2017-01-03,[114],oklahoma
ryan,costello,M,1976-09-07,Ryan A. Costello,rep,Republican,2015-01-06,2017-01-03,[114],pennsylvania
mia,love,F,1975-12-06,Mia B. Love,rep,Republican,2015-01-06,2017-01-03,[114],utah
barbara,comstock,F,1959-06-30,Barbara Comstock,rep,Republican,2015-01-06,2017-01-03,[114],virginia
daniel,donovan,M,1956-11-06,"Daniel M. Donovan, Jr.",rep,Republican,2015-05-12,2017-01-03,[114],new york
colleen,hanabusa,F,1951-05-04,Colleen Hanabusa,rep,Democrat,2016-11-14,2017-01-03,[114],hawaii
john,isakson,M,1944-12-28,Johnny Isakson,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",georgia
lamar,alexander,M,1940-07-03,Lamar Alexander,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",tennessee
michael,enzi,M,1944-02-01,Michael B. Enzi,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",wyoming
pat,roberts,M,1936-04-20,Pat Roberts,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",kansas
tom,udall,M,1948-05-18,Tom Udall,sen,Democrat,2015-01-06,2021-01-03,"[114, 115, 116]",new mexico
cory,gardner,M,1974-08-22,Cory Gardner,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",colorado
david,perdue,M,1949-12-10,David Perdue,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",georgia
roy,blunt,M,1950-01-10,Roy Blunt,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",missouri
richard,burr,M,1955-11-30,Richard Burr,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",north carolina
patrick,leahy,M,1940-03-31,Patrick J. Leahy,sen,Democrat,2011-01-05,2017-01-03,"[112, 113, 114]",vermont
robert,portman,M,1955-12-19,Rob Portman,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",ohio
richard,shelby,M,1934-05-06,Richard C. Shelby,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",alabama
patrick,toomey,M,1961-11-17,Patrick J. Toomey,sen,Republican,2011-01-05,2017-01-03,"[112, 113, 114]",pennsylvania
james,inhofe,M,1934-11-17,James M. Inhofe,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",oklahoma
benjamin,sasse,M,1972-02-22,Ben Sasse,sen,Republican,2015-01-06,2021-01-03,"[114, 115, 116]",nebraska
dianne,feinstein,F,1933-06-22,Dianne Feinstein,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",california
robert,menendez,M,1954-01-01,Robert Menendez,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",new jersey
sherrod,brown,M,1952-11-09,Sherrod Brown,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",ohio
benjamin,cardin,M,1943-10-05,Benjamin L. Cardin,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",maryland
thomas,carper,M,1947-01-23,Thomas R. Carper,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",delaware
robert,casey,M,1960-04-13,"Robert P. Casey, Jr.",sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",pennsylvania
debbie,stabenow,F,1950-04-29,Debbie Stabenow,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",michigan
jon,tester,M,1956-08-21,Jon Tester,sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",montana
joe,manchin,M,1947-08-24,"Joe Manchin, III",sen,Democrat,2013-01-03,2019-01-03,"[113, 114, 115]",west virginia
